BoroName,BoroCode,NTACode,NTAName,Shape_Area,NYC_NTA_po,NYC_NTA__1,NYC_NTA__4,BB_2018,NYC_pop,stan_2018,BB_2018_C,stan_2018_
Brooklyn,"3",BK96,Rugby-Remsen Village,1778802.696530000073835,Brooklyn,"2010","55326",34,"55326","61",26,"47"
Queens,"4",QN20,Ridgewood,1221365.562870000023395,Queens,"2010","69317",49,"69317","71",17,"25"
Bronx,"2",BX43,Norwood,1939179.595029999967664,Bronx,"2010","40494",58,"40494","143",70,"173"
Queens,"4",QN21,Middle Village,1547771.957840000046417,Queens,"2010","37929",3,"37929","8",5,"13"
Brooklyn,"3",BK90,East Williamsburg,1389722.734859999967739,Brooklyn,"2010","34158",25,"34158","73",20,"59"
Bronx,"2",BX44,Williamsbridge-Olinville,1820227.868999999947846,Bronx,"2010","61321",114,"61321","186",45,"73"
Queens,"4",QN22,Flushing,2102465.747849999926984,Queens,"2010","72008",53,"72008","74",41,"57"
Brooklyn,"3",BK91,East Flatbush-Farragut,1801875.970830000005662,Brooklyn,"2010","50355",35,"50355","70",60,"119"
Queens,"4",QN23,College Point,2935620.793910000007600,Queens,"2010","24275",3,"24275","12",0,"0"
Manhattan,"1",MN01,Marble Hill-Inwood,1690644.703660000115633,Manhattan,"2010","46746",95,"46746","203",98,"210"
Bronx,"2",BX40,Fordham South,728192.329695999971591,Bronx,"2010","28262",68,"28262","241",48,"170"
Queens,"4",QN28,Jackson Heights,2316635.918169999960810,Queens,"2010","108152",61,"108152","56",77,"71"
Queens,"4",QN29,Elmhurst,1230343.788350000046194,Queens,"2010","88427",45,"88427","51",70,"79"
Brooklyn,"3",BK88,Borough Park,1806159.313959999941289,Brooklyn,"2010","106357",33,"106357","31",15,"14"
Queens,"4",QN25,Corona,1819609.051440000068396,Queens,"2010","57658",30,"57658","52",31,"54"
Bronx,"2",BX59,Westchester-Unionport,1343331.053800000110641,Bronx,"2010","27248",17,"27248","62",10,"37"
Queens,"4",QN26,North Corona,1649123.592759999912232,Queens,"2010","52037",19,"52037","37",17,"33"
Queens,"4",QN27,East Elmhurst,1670746.138849999988452,Queens,"2010","23150",3,"23150","13",7,"30"
Staten Island,"5",SI11,Charleston-Richmond Valley-Tottenville,19278842.228399999439716,Staten Island,"2010","23313",1,"23313","4",0,"0"
Brooklyn,"3",BK09,Brooklyn Heights-Cobble Hill,901506.992481000022963,Brooklyn,"2010","22887",5,"22887","22",19,"83"
Staten Island,"5",SI99,park-cemetery-etc-Staten Island,23368775.289500001817942,Staten Island,"2010","0",0,"0","0",0,"0"
Staten Island,"5",SI28,Port Richmond,5207303.814410000108182,Staten Island,"2010","20191",8,"20191","40",2,"10"
Staten Island,"5",SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,5668294.638120000250638,Staten Island,"2010","30714",11,"30714","36",0,"0"
Staten Island,"5",SI25,Oakwood-Oakwood Beach,5054382.775200000032783,Staten Island,"2010","22049",14,"22049","63",8,"36"
