"","b_year","borough","date","count","C_Year","C_Month","C_Day","population"
"30","BRONX_2016","BRONX",2016-12-01,120,2016,12,1,1436785
"95","BROOKLYN_2016","BROOKLYN",2016-12-01,183,2016,12,1,2606852
"160","MANHATTAN_2016","MANHATTAN",2016-12-01,118,2016,12,1,1634989
"225","QUEENS_2016","QUEENS",2016-12-01,65,2016,12,1,2310011
"290","STATEN_ISLAND_2016","STATEN ISLAND",2016-12-01,13,2016,12,1,473324
"31","BRONX_2017","BRONX",2017-01-01,112,2017,1,1,1455846
"96","BROOKLYN_2017","BROOKLYN",2017-01-01,182,2017,1,1,2635121
"161","MANHATTAN_2017","MANHATTAN",2017-01-01,126,2017,1,1,1653877
"226","QUEENS_2017","QUEENS",2017-01-01,71,2017,1,1,2339280
"291","STATEN_ISLAND_2017","STATEN ISLAND",2017-01-01,16,2017,1,1,475948
"32","BRONX_2017","BRONX",2017-02-01,142,2017,2,1,1455846
"97","BROOKLYN_2017","BROOKLYN",2017-02-01,165,2017,2,1,2635121
"162","MANHATTAN_2017","MANHATTAN",2017-02-01,102,2017,2,1,1653877
"227","QUEENS_2017","QUEENS",2017-02-01,64,2017,2,1,2339280
"292","STATEN_ISLAND_2017","STATEN ISLAND",2017-02-01,18,2017,2,1,475948
"33","BRONX_2017","BRONX",2017-03-01,124,2017,3,1,1455846
"98","BROOKLYN_2017","BROOKLYN",2017-03-01,196,2017,3,1,2635121
"163","MANHATTAN_2017","MANHATTAN",2017-03-01,113,2017,3,1,1653877
"228","QUEENS_2017","QUEENS",2017-03-01,106,2017,3,1,2339280
"293","STATEN_ISLAND_2017","STATEN ISLAND",2017-03-01,17,2017,3,1,475948
"34","BRONX_2017","BRONX",2017-04-01,105,2017,4,1,1455846
"99","BROOKLYN_2017","BROOKLYN",2017-04-01,204,2017,4,1,2635121
"164","MANHATTAN_2017","MANHATTAN",2017-04-01,115,2017,4,1,1653877
"229","QUEENS_2017","QUEENS",2017-04-01,78,2017,4,1,2339280
"294","STATEN_ISLAND_2017","STATEN ISLAND",2017-04-01,6,2017,4,1,475948
"35","BRONX_2017","BRONX",2017-05-01,157,2017,5,1,1455846
"100","BROOKLYN_2017","BROOKLYN",2017-05-01,187,2017,5,1,2635121
"165","MANHATTAN_2017","MANHATTAN",2017-05-01,174,2017,5,1,1653877
"230","QUEENS_2017","QUEENS",2017-05-01,87,2017,5,1,2339280
"295","STATEN_ISLAND_2017","STATEN ISLAND",2017-05-01,8,2017,5,1,475948
"36","BRONX_2017","BRONX",2017-06-01,198,2017,6,1,1455846
"101","BROOKLYN_2017","BROOKLYN",2017-06-01,249,2017,6,1,2635121
"166","MANHATTAN_2017","MANHATTAN",2017-06-01,153,2017,6,1,1653877
"231","QUEENS_2017","QUEENS",2017-06-01,110,2017,6,1,2339280
"296","STATEN_ISLAND_2017","STATEN ISLAND",2017-06-01,10,2017,6,1,475948
"37","BRONX_2017","BRONX",2017-07-01,215,2017,7,1,1455846
"102","BROOKLYN_2017","BROOKLYN",2017-07-01,263,2017,7,1,2635121
"167","MANHATTAN_2017","MANHATTAN",2017-07-01,171,2017,7,1,1653877
"232","QUEENS_2017","QUEENS",2017-07-01,129,2017,7,1,2339280
"297","STATEN_ISLAND_2017","STATEN ISLAND",2017-07-01,17,2017,7,1,475948
"38","BRONX_2017","BRONX",2017-08-01,229,2017,8,1,1455846
"103","BROOKLYN_2017","BROOKLYN",2017-08-01,315,2017,8,1,2635121
"168","MANHATTAN_2017","MANHATTAN",2017-08-01,147,2017,8,1,1653877
"233","QUEENS_2017","QUEENS",2017-08-01,117,2017,8,1,2339280
"298","STATEN_ISLAND_2017","STATEN ISLAND",2017-08-01,14,2017,8,1,475948
"39","BRONX_2017","BRONX",2017-09-01,190,2017,9,1,1455846
"104","BROOKLYN_2017","BROOKLYN",2017-09-01,276,2017,9,1,2635121
"169","MANHATTAN_2017","MANHATTAN",2017-09-01,175,2017,9,1,1653877
"234","QUEENS_2017","QUEENS",2017-09-01,116,2017,9,1,2339280
"299","STATEN_ISLAND_2017","STATEN ISLAND",2017-09-01,23,2017,9,1,475948
"40","BRONX_2017","BRONX",2017-10-01,200,2017,10,1,1455846
"105","BROOKLYN_2017","BROOKLYN",2017-10-01,233,2017,10,1,2635121
"170","MANHATTAN_2017","MANHATTAN",2017-10-01,174,2017,10,1,1653877
"235","QUEENS_2017","QUEENS",2017-10-01,108,2017,10,1,2339280
"300","STATEN_ISLAND_2017","STATEN ISLAND",2017-10-01,13,2017,10,1,475948
"41","BRONX_2017","BRONX",2017-11-01,163,2017,11,1,1455846
"106","BROOKLYN_2017","BROOKLYN",2017-11-01,170,2017,11,1,2635121
"171","MANHATTAN_2017","MANHATTAN",2017-11-01,133,2017,11,1,1653877
"236","QUEENS_2017","QUEENS",2017-11-01,67,2017,11,1,2339280
"301","STATEN_ISLAND_2017","STATEN ISLAND",2017-11-01,8,2017,11,1,475948
"42","BRONX_2017","BRONX",2017-12-01,133,2017,12,1,1455846
"107","BROOKLYN_2017","BROOKLYN",2017-12-01,149,2017,12,1,2635121
"172","MANHATTAN_2017","MANHATTAN",2017-12-01,100,2017,12,1,1653877
"237","QUEENS_2017","QUEENS",2017-12-01,65,2017,12,1,2339280
"302","STATEN_ISLAND_2017","STATEN ISLAND",2017-12-01,7,2017,12,1,475948
"43","BRONX_2018","BRONX",2018-01-01,119,2018,1,1,1437872
"108","BROOKLYN_2018","BROOKLYN",2018-01-01,149,2018,1,1,2600747
"173","MANHATTAN_2018","MANHATTAN",2018-01-01,107,2018,1,1,1632480
